Subject,From,Body
"Fwd: Live Meditation: Time Management: Being Effective yet
 Effortless: Mon 3 April, 7 pm",Dean StudentWelfare <dosw@iitr.ac.in>,"
Dear Students,
Following are the details on the above subject.


Topic: Three pillars of time management: Being effective yet effortless

Date: Monday 3 April 7 pm

Meeting link:

https://us02web.zoom.us/meeting/register/tZYvdOuqqDwpH9eyTbdY4ez-6iwMNlniUr=
Qq

Seats are limited. Hence, pre-registration is needed.

Speaker: =C2=A0Tanusree Chakraborty, Ph.D., Associate Dean, Student Welfare
Professor, Department of Civil Engineering,
Indian Institute of Technology Delhi,
Hauz Khas, New Delhi 110016, India.
Webpage: http://web.iitd.ac.in/~tanusree/



Barua
DoSW


"
"Traffic, parking and General Security instructions: 22nd
 Convocation","""Professor In Charge,  Security, IITR"" <pic@security.iitr.ac.in>","
Dear All=20

Kindly go through the attached file which is related to traffic management,=
 parking and general security instructions during 22nd Convocation dated 6t=
h April 2023.=C2=A0
If you have any queries kindly connect to us.=C2=A0=20
=C2=A0=20

Regards=20
A S Maurya=20
=C2=A0 =20
=20
----
Professor I/C Security
Indian Institute of Technology Roorkee
Roorkee - 247667, I N D I A
Tel: +91 1332 285610, =20
Mobile: +91 9458941011, +91 7310642387
email: pic@security[dot]iitr[dot]ac[dot]in, asmaurya[at]es[dot]iitr[dot]ac[=
dot]in =20

"
Invited lecture on LEARN KOREAN: AN EASY WAY TO GET STARTED,Head Applied Mathematics and Scientific Computing <head@as.iitr.ac.in>,"Dear All, 
The Department of Applied Mathematics and Scientific Computing cordially invites you for a lecture on Korean Language: 

Topic: ""LEARN KOREAN: AN EASY WAY TO GET STARTED"" 
Speaker: Mr. Pulkit Sharma, Korean Language Faculty, Symbiosis Institute of Foreign and Indian Languages 
Date: Apr 3 , 2023 
Time: 05:00 PM 
Venue (hybrid mode): committee hall 

The link of the meeting is: 
[ https://us05web.zoom.us/j/84892727718?pwd=ZlM0TlBkZEZFYmRtaXhyWE5ONnVEZz09 | https://us05web.zoom.us/j/84892727718?pwd=ZlM0TlBkZEZFYmRtaXhyWE5ONnVEZz09 ] 
Meeting ID: 848 9272 7718 
Passcode: 7NJs5H 

Warm Regards 
Millie 
-- 
"
SPIC MACAY Recruitments Form,SPIC MACAY <spicmacay@iitr.ac.in>,"Hello everyone! 
Greetings from SPIC MACAY. 
We received an overwhelming response to the recruitments conducted on 31st March. It was a great experience for all of us. 
Due to multiple requests, we have decided to extend the recruitments for two more days. Interested students can fill out the form given below. 

Form : [ https://docs.google.com/forms/d/e/1FAIpQLScQuvi3c8LFyuniZb8SSqiSeHiJscHN3XxKnABBgIwEubONKQ/viewform | https://docs.google.com/forms/d/e/1FAIpQLScQuvi3c8LFyuniZb8SSqiSeHiJscHN3XxKnABBgIwEubONKQ/viewform ] 

Deadline: 4 April, 11.59 PM 

Regards, 
SPIC MACAY, 
Heritage Club, IIT Roorkee 
"





Lecture Slides L11toL17,Pradumn KumarPandey <pradumn.pandey@cs.iitr.ac.in>,"Dear All, 

PFA. 



From: ""Pradumn KumarPandey"" <pradumn.pandey@cs.iitr.ac.in> 
To: ""CSN-106"" <csn-106@iitr.ac.in>, ""DA-104"" <da-104@iitr.ac.in> 
Sent: Thursday, March 30, 2023 10:17:21 AM 
Subject: Re: Assignment 2 

Dear Students, 

PFA the second assignment and you have to show the codes during tutorial hours. 




From: ""Pradumn KumarPandey"" <pradumn.pandey@cs.iitr.ac.in> 
To: ""CSN-106"" <csn-106@iitr.ac.in>, ""DA-104"" <da-104@iitr.ac.in> 
Cc: ""Pradumn KumarPandey"" <pradumn.pandey@cs.iitr.ac.in> 
Sent: Tuesday, March 21, 2023 12:03:55 AM 
Subject: Slides of lecture 1-10 

Dear Students, 

PFA lecture slides. 

.... 
pradumn 
cse, iit roorkee 

"
Your iitr.ac.in password has been reset,msonlineservicesteam@microsoftonline.com,
TechShila: Inter Bhawan Tech Meet,General Secretary Technical Affairs <gensec.technical@iitr.ac.in>,"Attention all tech enthusiasts! Are you ready for the ultimate
technological showdown? After tireless planning and preparation, the
Students=E2=80=99 Technical Council is thrilled to announce the first editi=
on of
TechShila - IIT Roorkee's Inter Bhawan Tech Meet. This exciting event will
showcase the best of IITR's extravagant technical culture as Bhawans will
compete across various technical domains for securing the General
Championship. TechShila 1.0 will be a two-week-long event starting today
with a final showdown of participants from 14th to 16th April 2023.

Stay tuned for a set of comprehensive problem statements that are ready to
challenge and bring the best out of you! TechShila 1.0 promises to be an
exciting learning experience for all participants, providing an opportunity
to showcase your technical skills and learn from your fellow competitors.

Represent your Bhawan with pride and elevate your technical skills in this
exciting two-week-long event filled with learning opportunities and
challenges designed to enhance your tech acumen!

https://www.instagram.com/p/Cqf68YqPu-N/?igshid=3DMDJmNzVkMjY=3D



--=20
Thanks & Regards,
Aryan Bidani
General Secretary Technical Affairs
IIT ROORKEE
"
Re: CINEQUEST 2023 || CINEMA CLUB,Cultural Council Cinema Club <cinemaclub@iitr.ac.in>,"Hello IIT-R Junta,=20

This is a reminder to inform you that end-of-day registration for Cinequest=
 is 11:59 PM, 1st April.=20
To register click on the link:- https://forms.gle/ACdi9Fy3LC81oLkb9.=20
For other details refer to the previous mail.=20


From: ""Cultural CouncilCinemaClub"" <cinemaclub@iitr.ac.in>=20
To: ""UG Students IITR"" <ug@iitr.ac.in>, ""PG Students IITR"" <pg@iitr.ac.in>=
=20
Cc: ""Fa culsoc"" <fa.culsoc@iitr.ac.in>=20
Sent: Wednesday, March 29, 2023 2:28:51 PM=20
Subject: CINEQUEST 2023 || CINEMA CLUB=20

Hello IITR junta!=20





You must have heard of =E2=80=98 Shinzou Wo Sasageyo=E2=80=99 , but do you =
know what it means?=20

Cinema club is excited to announce Cinequest '23 , a quiz on some of the mo=
st popular and trending movie series of recent times! The quiz is open to a=
ll budding cinephiles who are fans of Mirzapur, The Boys, Attack on Titan, =
The Wednesday , and more.=20

This three-round competition will test your knowledge of these web series' =
characters, plot, and other interesting facts. So, gear up, choose your tea=
mmates wisely, and get ready to participate in this exciting quiz competiti=
on!=20

Before registration, go through the attached rulebook below once.=20

Details of the competition are as follows:=20

Date: 2nd April 2023=20

Time: 2:30 PM - 5:30 PM=20

Venue: New LHC (L -002)=20

Registration link: https://forms.gle/ACdi9Fy3LC81oLkb9=20

Winners will receive prizes worth 10k and more .=20

So, don't miss this opportunity to show off your knowledge of these movie s=
eries and win exciting prizes. We look forward to your participation.=20

In case of any queries please feel free to reach out to us on our social me=
dia page or via email at [ mailto:cinemaclub@iitr.ac.in | cinemaclub@iitr.a=
c.in ] or to Rishabh (9511358152).=20



Regards,=20


Shristi Meena=20
Secretary=20

Cinema Club=20

"
Finance Club | WorldQuant BRAIN IQC 2023 Workshop on 2nd April,General Secretary Technical Affairs <gensec.technical@iitr.ac.in>,"Greetings from Finance Club!

Finance Club, in collaboration with WorldQuant BRAIN Team, is organizing a
workshop on the International Quant Championship 2023 (IQC). The workshop
will be hosted by two of the IIT Roorkee alumni Aditya Chaturvedi and Ishan
Shandilya, of the Batch 2019 and 2021, respectively, working at WorldQuant
BRAIN as Quantitative Researchers.

The workshop will give you an insight into the work of Algorithmic Trading
and Research in Financial Markets. The workshop will imply the use of
various financial and statistical concepts and give you an insight into
both- the technical and fundamental sides of finance. This workshop and
competition can be an excellent headstart for those who want to start their
career in finance or want to explore the field of finance. The competition
has a Cash Prize pool of USD 100K+ and many other additional perks.

Do not forget to bring your laptops and stay until the end to chit-chat
with our alums and enjoy some pizza. Official WorldQuant merchandise will
be given to selective enthusiastic participants during the workshop.
Do join us for this exciting session!
LinkedIn - https://www.linkedin.com/in/aditya-chaturvedi-146136109,
https://www.linkedin.com/in/ishanshandilya-iitr-10

*Date:  2nd April 2023*
*Time: 3 pm =E2=80=93 6 pm*
*Venue: L2-104*

*Note*: There is a change in Venue. The workshop will be conducted in
L2-104.


Thanks and regards,
Finance Club, IIT Roorkee




--=20
Thanks & Regards,
Aryan Bidani
General Secretary Technical Affairs
IIT ROORKEE
"
"Training School on Weather Research & Forecasting (WRF) Modeling
 System","""Dr. Navneet Kumar Gupta"" <guptafcc@iitr.ac.in>","Dear [ https://hpc.iitr.ac.in/ | PARAM Ganga ] users, 

We are happy to inform you that "" National Supercomputing Mission (NSM) in association with Centre for Development of Advanced Computing (CDAC) and South Asian Meteorological Association (SAMA) is organizing a Training School on WRF Modeling system"" as per the following schedule: 

Dates: 03-20 April 2023 
Agenda: For details see the attached poster 
Registration link: [ https://tinyurl.com/nsmwrftrain | https://tinyurl.com/nsmwrftrain ] 
Who can attend: Masters students, PhD scholars, and Professionals in the atmospheric sciences and related fields are all welcome to enrol in this free course. 

Regards, 
-- 
Dr. Navneet Kumar Gupta 
Institute Computer Centre 
IIT Roorkee 

"
Collection of User Data of the FESEM Equipment at IIC,Inst InstrumentationCentre <iic@iitr.ac.in>,"Of late it is observed that many users are not collecting their sample data=
 even after lapse of a considerable time period after analysis of their sam=
ples. A large amount of data of various users is available with us and due =
to this our systems are running out of space, which is resulting in slowing=
-down of our systems. Hence to free-up our systems we are required to erase=
 the user data of the following equipments:=20

i) FESEM Apreo=20
ii) EBSD=20
iii) FESEM Ultraplus=20
iv) FESEM Gemini 300=20

In view of the above, all users are hereby requested to collect their data =
of the above instruments mandatorily by 20.04.2023. Please note that the da=
ta of samples analyzed upto 31.03.2023 will be erased permanently on 20.04.=
2023 and it will not be possible to provide the data after that.=20

Further it is also intimated that from April 2023 onwards the above process=
 of erasing the user data to free-up the system space will be carried out o=
n every 20th day of the ensuing month.=20
In other words the data for April month will be erased on 20th day of May, =
the data of May month will be erased on 20th day of June and so on.=20

In view of the above, all are requested to collect their data well in time.=

"
"Channel I credentials for booking the rooms @ Guest houses, IITR",Professor InChargeGuestHouse <pigh@iitr.ac.in>,"Dear All, 
Now, Channel-I credentials can dierectly be used for booking the rooms @ Guest house, IITR. Please find herewith attached login manual. If you have channel I credentials, then you need not to register at guesthouse booking portal. 


Best regards, 
Yogesh Sharma 
Prof-in-charge, Guest house 
"
"Learn from the best - Join us for the Finance and Data Science
 Talks!",Student Mentorship Program <smp@iitr.ac.in>,"Dear First-Year Students, 

Are you interested in exploring the world of Finance and Data Science? Do you want to learn from the best on campus and get insider tips on how to excel in these fields? Then you won't want to miss our "" Career Talks "" event today! 

We are thrilled to have some of the most talented and experienced seniors from our campus joining us to speak about these exciting topics. They will share their knowledge, insights, and personal experiences to help you navigate the complex worlds of finance and data science. 

Not only will you gain valuable knowledge and practical advice, but you'll also have the opportunity to network with your peers and the speakers themselves. You can ask questions, share your ideas, and connect with like-minded individuals who share your passion for these fields. 

In addition to all of this, we're also offering free refreshments to all attendees. So don't hesitate to come straight to the MAC Auditorium as soon as your classes end today at 6pm . 

We know that you're all busy with classes and recruitments, but it's important to take a moment and reflect on your interests and career aspirations. If you're interested in finance or data science, this is a great opportunity to learn from our best seniors in those fields and gain valuable insights on how to crack recruitment processes. Come join us at the MAC Auditorium today from 6pm to 8pm and take the first step towards exploring your potential in these exciting fields. 
So what are you waiting for? Grab your friends and join us for an evening of insightful talks, networking, and free refreshments. We can't wait to see you there! 

Best, 
Chief Secretary, SMP 
"
